grien	dziw	dziw_qhanshiev	dziwxev	sikrok_xaumra	thovqitmra	pryentyov	tyoshiek
06677	晷			[60604]	U+6677		
06691	暑			[60604]	U+6691		
06697	暗			[60061]	U+6697		
06698	暘			[66027]	U+6698		
066A2	暢			[56027]	U+66A2		
066A4	暤			[66048]	U+66A4		
066A6	暦			[71269]	U+66A6		
066AD	暭			[66049]	U+66AD		
066B5	暵			[64085]	U+66B5		
066B9	暹			[36301]	U+66B9		
066C4	曄			[64054]	U+66C4		
066C5	曅			[60504]	U+66C5		
066C6	曆			[71269]	U+66C6		
066C7	曇			[60732]	U+66C7		
066CD	曍			[66049]	U+66CD		
066D9	曙			[66064]	U+66D9		
066DC	曜			[67015]	U+66DC		
066E0	曠			[60086]	U+66E0		
066E1	曡			[60102]	U+66E1		
066E6	曦			[68053]	U+66E6		
066F0	曰			[60100]	U+66F0		
066F2	曲			[55600]	U+66F2		
066F3	曳			[50006]	U+66F3		
066F6	曶			[27602]	U+66F6		
066F8	書			[50601]	U+66F8		
066FF	替			[55608]	U+66FF		
06708	月			[77220]	U+6708		
06709	有			[40227]	U+6709		
06710	朐			[77220]	U+6710		
06712	朒			[74227]	U+6712		
06715	朕			[78284]	U+6715		
06716	朖			[73232]	U+6716		
06717	朗			[37720]	U+6717		
06718	朘			[73247]	U+6718		
0671B	望			[07104]	U+671B		
06722	朢			[77104]	U+6722		
06728	木			[40900]	U+6728		
0672C	本			[50230]	U+672C		
0672D	札			[42910]	U+672D		
0672E	朮			[43212]	U+672E		
0672F	术			[43900]	U+672F		
06731	朱			[25900]	U+6731		
06738	朸			[44927]	U+6738		
06743	权			[47940]	U+6743		
06744	杄			[42940]	U+6744		
06746	杆			[41940]	U+6746		
06749	杉			[42922]	U+6749		
0674E	李			[40407]	U+674E		
0674F	杏			[40609]	U+674F		
06751	村			[44900]	U+6751		
06755	杕			[44980]	U+6755		
06756	杖			[45900]	U+6756		
06757	杗			[00904]	U+6757		
0675C	杜			[44910]	U+675C		
0675E	杞			[47917]	U+675E		
06760	杠			[41912]	U+6760		
06762	杢			[40102]	U+6762		
06765	来			[50900]	U+6765		
06768	杨			[47927]	U+6768		
0676A	杪			[49920]	U+676A		
06774	杴			[47982]	U+6774		
06775	杵			[48940]	U+6775		
0677C	杼			[47922]	U+677C		
06781	极			[47947]	U+6781		
06785	枅			[41940]	U+6785		
06789	枉			[41914]	U+6789		
0678D	枍			[48927]	U+678D		
06793	枓			[44900]	U+6793		
06797	林			[44990]	U+6797		
06798	枘			[44927]	U+6798		
067A1	枡			[44900]	U+67A1		
067A3	枣			[50303]	U+67A3		
067A5	枥			[41927]	U+67A5		
067A8	枨			[42934]	U+67A8		
067AD	枭			[27904]	U+67AD		
067AF	枯			[44960]	U+67AF		
067B5	枵			[46927]	U+67B5		
067B8	枸			[47920]	U+67B8		
067BB	枻			[44917]	U+67BB		
067BC	枼			[44904]	U+67BC		
067C8	柈			[49950]	U+67C8		
067CA	柊			[47933]	U+67CA		
067CF	柏			[46902]	U+67CF		
067D2	柒			[34904]	U+67D2		
067D8	柘			[41962]	U+67D8		
067DA	柚			[45960]	U+67DA		
067DC	柜			[41917]	U+67DC		
067E9	柩			[41918]	U+67E9		
